gene,target_id,has_qsar_model,n_qualifying_structures
ABCC1,,False,1.0
ACVR1B,,False,2.0
AHR,,False,1.0
ALPL,,False,3.0
APOBEC3G,,False,3.0
ASAH1,,False,2.0
AVPR2,,False,1.0
BBOX1,,False,11.0
BCL2L11,,False,3.0
BCL9,,False,1.0
BMPR1A,,False,1.0
CALCR,,False,2.0
CCND3,,False,1.0
CHRNA1,,False,1.0
CHRNA4,,False,1.0
CHRNB2,,False,1.0
CSNK2B,,False,3.0
DBH,,False,1.0
DNM1,,False,4.0
F13A1,,False,3.0
FLT4,,False,1.0
G6PD,,False,15.0
GSR,,False,26.0
GUSB,,False,1.0
HCRTR1,,False,14.0
HDAC5,,False,1.0
HIF1A,,False,13.0
HLA-A,,False,10.0
HLA-DRB1,,False,49.0
HSPD1,,False,2.0
IL23R,,False,3.0
ITGB2,,False,14.0
ITGB5,,False,2.0
ITGB8,,False,2.0
KIF5B,,False,5.0
KMO,,False,1.0
KMT2A,,False,19.0
MC4R,,False,3.0
MPO,,False,41.0
MST1R,,False,2.0
NPC1L1,,False,1.0
NR0B1,,False,1.0
ORAI1,,False,1.0
P4HTM,,False,1.0
PDCD1,,False,10.0
PEPD,,False,19.0
PHF8,,False,5.0
PLEC,,False,1.0
PPP3CA,,False,12.0
PRKCE,,False,1.0
PRKCG,,False,1.0
PRNP,,False,1.0
PRSS1,,False,1.0
PTPN7,,False,1.0
PTPRC,,False,3.0
PYGM,,False,1.0
RACGAP1,,False,3.0
RRM2,,False,4.0
RRM2B,,False,2.0
SCN4A,,False,1.0
SCN5A,,False,1.0
SLC9A1,,False,6.0
SNCA,,False,1.0
STAT1,,False,3.0
TERT,,False,1.0
TLK2,,False,1.0
TLL1,,False,1.0
TRIM33,,False,3.0
TRPA1,,False,1.0
TRPV3,,False,2.0
TRPV4,,False,1.0
TUBB2A,,False,1.0
TXNRD1,,False,7.0
UBA1,,False,1.0
